election_name,election_day,polling_place_id,polling_place_name,address_line_1,address_line_2,city,state,zip,formatted_address,ballot_drop_off,dropoff_type,open_at,close_at,county_name
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-10-19 13:00:00,2022-10-19 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-10-20 13:00:00,2022-10-20 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-10-21 13:00:00,2022-10-21 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-10-24 13:00:00,2022-10-24 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-10-25 13:00:00,2022-10-25 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-10-26 13:00:00,2022-10-26 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-10-27 13:00:00,2022-10-27 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-10-28 13:00:00,2022-10-28 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-10-31 13:00:00,2022-10-31 23:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-11-01 13:00:00,2022-11-01 23:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-11-02 13:00:00,2022-11-02 23:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-11-03 13:00:00,2022-11-03 23:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-11-04 13:00:00,2022-11-04 23:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885819,Allen County Courthouse - Assembly Room (Lower Level),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",FALSE,,2022-11-07 14:00:00,2022-11-07 18:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-10-19 13:00:00,2022-10-19 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-10-20 13:00:00,2022-10-20 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-10-21 13:00:00,2022-10-21 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-10-24 13:00:00,2022-10-24 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-10-25 13:00:00,2022-10-25 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-10-26 13:00:00,2022-10-26 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-10-27 13:00:00,2022-10-27 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-10-28 13:00:00,2022-10-28 22:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-10-31 13:00:00,2022-10-31 23:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-11-01 13:00:00,2022-11-01 23:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-11-02 13:00:00,2022-11-02 23:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-11-03 13:00:00,2022-11-03 23:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-11-04 13:00:00,2022-11-04 23:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885820,Allen County Courthouse - Assembly Room (Lower Level) (Hand off inside),1 North Washington Ave,,Iola,KS,66749,"1 N Washington Ave, Iola, KS 66749, USA",TRUE,hand off inside,2022-11-07 14:00:00,2022-11-07 18:00:00,Allen County
Kansas General Election,2022-11-08 0:00:00,885789,Anderson County Clerk's Office,100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",FALSE,,2022-10-24 13:00:00,2022-10-24 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885789,Anderson County Clerk's Office,100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",FALSE,,2022-10-25 13:00:00,2022-10-25 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885789,Anderson County Clerk's Office,100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",FALSE,,2022-10-26 13:00:00,2022-10-26 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885789,Anderson County Clerk's Office,100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",FALSE,,2022-10-27 13:00:00,2022-10-27 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885789,Anderson County Clerk's Office,100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",FALSE,,2022-10-28 13:00:00,2022-10-28 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885789,Anderson County Clerk's Office,100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",FALSE,,2022-10-31 13:00:00,2022-10-31 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885789,Anderson County Clerk's Office,100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",FALSE,,2022-11-01 13:00:00,2022-11-01 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885789,Anderson County Clerk's Office,100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",FALSE,,2022-11-02 13:00:00,2022-11-02 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885789,Anderson County Clerk's Office,100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",FALSE,,2022-11-03 13:00:00,2022-11-03 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885789,Anderson County Clerk's Office,100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",FALSE,,2022-11-04 13:00:00,2022-11-04 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885789,Anderson County Clerk's Office,100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",FALSE,,2022-11-07 14:00:00,2022-11-07 18:00:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-10-19 13:00:00,2022-10-19 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-10-20 13:00:00,2022-10-20 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-10-21 13:00:00,2022-10-21 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-10-24 13:00:00,2022-10-24 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-10-25 13:00:00,2022-10-25 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-10-26 13:00:00,2022-10-26 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-10-27 13:00:00,2022-10-27 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-10-28 13:00:00,2022-10-28 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-10-31 13:00:00,2022-10-31 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-11-01 13:00:00,2022-11-01 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-11-02 13:00:00,2022-11-02 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-11-03 13:00:00,2022-11-03 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-11-04 13:00:00,2022-11-04 21:30:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885790,Anderson County Clerk's Office (Hand off inside),100 E 4th Avenue,,Garnett,KS,66032,"100 E 4th Ave, Garnett, KS 66032, USA",TRUE,hand off inside,2022-11-07 14:00:00,2022-11-07 18:00:00,Anderson County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-10-19 13:00:00,2022-10-19 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-10-20 13:00:00,2022-10-20 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-10-21 13:00:00,2022-10-21 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-10-24 13:00:00,2022-10-24 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-10-25 13:00:00,2022-10-25 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-10-26 13:00:00,2022-10-26 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-10-27 13:00:00,2022-10-27 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-10-28 13:00:00,2022-10-28 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-10-31 13:00:00,2022-10-31 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-11-01 13:00:00,2022-11-01 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-11-02 13:00:00,2022-11-02 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-11-03 13:00:00,2022-11-03 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-11-04 13:00:00,2022-11-04 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885957,Atchison County Courthouse - County Clerk's Office,423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",FALSE,,2022-11-07 14:00:00,2022-11-07 18:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-10-19 13:00:00,2022-10-19 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-10-20 13:00:00,2022-10-20 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-10-21 13:00:00,2022-10-21 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-10-24 13:00:00,2022-10-24 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-10-25 13:00:00,2022-10-25 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-10-26 13:00:00,2022-10-26 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-10-27 13:00:00,2022-10-27 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-10-28 13:00:00,2022-10-28 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-10-31 13:00:00,2022-10-31 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-11-01 13:00:00,2022-11-01 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-11-02 13:00:00,2022-11-02 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-11-03 13:00:00,2022-11-03 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-11-04 13:00:00,2022-11-04 22:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,885958,Atchison County Courthouse - Clerk's Office (Hand off inside),423 N 5th St,,Atchison,KS,66002,"423 N 5th St, Atchison, KS 66002, USA",TRUE,hand off inside,2022-11-07 14:00:00,2022-11-07 18:00:00,Atchison County
Kansas General Election,2022-11-08 0:00:00,886001,Barber County Clerk's Office,120 E. Washington Ave,,Medicine Lodge,KS,67104,"120 E Washington Ave, Medicine Lodge, KS 67104, USA",FALSE,,2022-10-19 13:30:00,2022-10-19 22:00:00,Barber County
Kansas General Election,2022-11-08 0:00:00,886001,Barber County Clerk's Office,120 E. Washington Ave,,Medicine Lodge,KS,67104,"120 E Washington Ave, Medicine Lodge, KS 67104, USA",FALSE,,2022-10-20 13:30:00,2022-10-20 22:00:00,Barber County
Kansas General Election,2022-11-08 0:00:00,886001,Barber County Clerk's Office,120 E. Washington Ave,,Medicine Lodge,KS,67104,"120 E Washington Ave, Medicine Lodge, KS 67104, USA",FALSE,,2022-10-21 13:30:00,2022-10-21 22:00:00,Barber County
Kansas General Election,2022-11-08 0:00:00,886002,Barber County Clerk Office,120 E. Washington Ave,,Medicine Lodge,KS,67104,"120 E Washington Ave, Medicine Lodge, KS 67104, USA",FALSE,,2022-10-24 13:30:00,2022-10-24 22:00:00,Barber County
Kansas General Election,2022-11-08 0:00:00,886002,Barber County Clerk Office,120 E. Washington Ave,,Medicine Lodge,KS,67104,"120 E Washington Ave, Medicine Lodge, KS 67104, USA",FALSE,,2022-10-25 13:30:00,2022-10-25 22:00:00,Barber County
Kansas General Election,2022-11-08 0:00:00,886002,Barber County Clerk Office,120 E. Washington Ave,,Medicine Lodge,KS,67104,"120 E Washington Ave, Medicine Lodge, KS 67104, USA",FALSE,,2022-10-26 13:30:00,2022-10-26 22:00:00,Barber County
